VerseID,VariantID,Relation,Pattern
66022021,,,
66022021,,,
66022021,,,
66022021,,,
66022021,yh0,,A
66022021,,,
66022021,cxf,,A
66022021,,,
66022021,yie,,C
66022021,yie,,c
66022021,yie,,cS
66022021,heh,i,A
